symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCD,2016-07-01 00:00:00+00:00,120.4,120.86,119.66,119.72,3797986,106.7124817958,107.1201872911,106.0566077383,106.1097867159,3797986,0.0,1.0
MCD,2016-07-05 00:00:00+00:00,120.76,120.8,120.1,120.12,5191103,107.0315556617,107.0670083134,106.4465869076,106.4643132335,5191103,0.0,1.0
MCD,2016-07-06 00:00:00+00:00,120.63,120.96,119.0,119.29,5102402,106.9163345434,107.2088189205,105.4716389842,105.7286707095,5102402,0.0,1.0
MCD,2016-07-07 00:00:00+00:00,120.92,121.24,120.41,120.89,3621346,107.1733662687,107.4569874828,106.7213449588,107.1467767799,3621346,0.0,1.0
MCD,2016-07-08 00:00:00+00:00,121.31,121.69,121.08,121.22,3809635,107.5190296233,107.8558298151,107.3151768757,107.4392611569,3809635,0.0,1.0
MCD,2016-07-11 00:00:00+00:00,122.0,122.12,121.46,121.69,4266147,108.1305878662,108.2369458215,107.6519770674,107.8558298151,4266147,0.0,1.0
MCD,2016-07-12 00:00:00+00:00,122.25,122.59,121.96,122.0,3741880,108.3521669397,108.6535144797,108.0951352144,108.1305878662,3741880,0.0,1.0
MCD,2016-07-13 00:00:00+00:00,122.82,123.015,122.16,122.36,3464127,108.8573672273,109.0301989046,108.2723984732,108.449661732,3464127,0.0,1.0
MCD,2016-07-14 00:00:00+00:00,123.93,124.21,123.01,123.7,6011933,109.8411783136,110.0893468759,109.0257673231,109.637325566,6011933,0.0,1.0
MCD,2016-07-15 00:00:00+00:00,123.61,124.44,123.39,124.42,3688225,109.5575570995,110.2931996235,109.3625675148,110.2754732976,3688225,0.0,1.0
MCD,2016-07-18 00:00:00+00:00,123.8,124.0,123.39,124.0,5254727,109.7259571954,109.9032204542,109.3625675148,109.9032204542,5254727,0.0,1.0
MCD,2016-07-19 00:00:00+00:00,126.5,126.6,123.75,124.08,6276266,112.1190111891,112.2076428185,109.6816413807,109.9741257577,6276266,0.0,1.0
MCD,2016-07-20 00:00:00+00:00,126.06,126.87,125.56,126.84,3353243,111.7290320198,112.4469482179,111.2858738728,112.4203587291,3353243,0.0,1.0
MCD,2016-07-21 00:00:00+00:00,127.18,127.23,125.93,126.42,3596708,112.721706269,112.7660220837,111.6138109016,112.0481058856,3596708,0.0,1.0
MCD,2016-07-22 00:00:00+00:00,128.26,128.6,127.29,127.29,4304163,113.6789278665,113.9802754065,112.8192010614,112.8192010614,4304163,0.0,1.0
MCD,2016-07-25 00:00:00+00:00,127.4,127.95,126.86,127.95,6208267,112.9166958537,113.4041698154,112.438085055,113.4041698154,6208267,0.0,1.0
MCD,2016-07-26 00:00:00+00:00,121.71,124.35,120.9701,123.5,14563177,107.8735561409,110.2134311571,107.217770715,109.4600623072,14563177,0.0,1.0
MCD,2016-07-27 00:00:00+00:00,119.48,121.79,119.24,121.69,9938642,105.8970708054,107.9444614445,105.6843548948,107.8558298151,9938642,0.0,1.0
MCD,2016-07-28 00:00:00+00:00,119.42,120.18,118.36,119.59,6239355,105.8438918277,106.5174922111,104.9043965561,105.9945655977,6239355,0.0,1.0
MCD,2016-07-29 00:00:00+00:00,117.65,119.66,117.43,119.14,7460599,104.2751119874,106.0566077383,104.0801224027,105.5957232654,7460599,0.0,1.0
MCD,2016-08-01 00:00:00+00:00,118.01,118.39,117.74,117.88,4208657,104.5941858532,104.9309860449,104.3548804538,104.478964735,4208657,0.0,1.0
MCD,2016-08-02 00:00:00+00:00,117.7,118.71,117.11,118.18,4504168,104.3194278021,105.214607259,103.7965011886,104.7448596232,4504168,0.0,1.0
MCD,2016-08-03 00:00:00+00:00,117.52,118.02,117.14,117.77,4120014,104.1598908691,104.6030490161,103.8230906774,104.3814699426,4120014,0.0,1.0
MCD,2016-08-04 00:00:00+00:00,118.3,118.55,117.58,117.85,4313174,104.8512175785,105.072796652,104.2130698468,104.4523752462,4313174,0.0,1.0
MCD,2016-08-05 00:00:00+00:00,119.21,119.45,118.6,118.78,3883771,105.657765406,105.8704813165,105.1171124666,105.2766493996,3883771,0.0,1.0
MCD,2016-08-08 00:00:00+00:00,118.29,119.37,118.195,119.17,3589296,104.8423544155,105.799576013,104.7581543676,105.6223127542,3589296,0.0,1.0
MCD,2016-08-09 00:00:00+00:00,118.31,119.13,117.6,117.98,3491668,104.8600807414,105.5868601025,104.2307961727,104.5675963644,3491668,0.0,1.0
MCD,2016-08-10 00:00:00+00:00,118.8,118.94,117.65,118.0,2941743,105.2943757254,105.4184600066,104.2751119874,104.5853226903,2941743,0.0,1.0
MCD,2016-08-11 00:00:00+00:00,119.38,119.75,118.85,118.87,3490215,105.808439176,106.1363762047,105.3386915401,105.356417866,3490215,0.0,1.0
MCD,2016-08-12 00:00:00+00:00,119.52,120.02,119.28,119.57,3015655,105.9325234571,106.3756816041,105.7198075466,105.9768392718,3015655,0.0,1.0
MCD,2016-08-15 00:00:00+00:00,118.52,119.25,118.52,119.02,3391619,105.0462071631,105.6932180577,105.0462071631,105.4893653101,3391619,0.0,1.0
MCD,2016-08-16 00:00:00+00:00,117.94,118.53,117.92,118.31,3333942,104.5321437126,105.0550703261,104.5144173867,104.8600807414,3333942,0.0,1.0
MCD,2016-08-17 00:00:00+00:00,117.1,117.98,116.52,117.98,5184855,103.7876380257,104.5675963644,103.2735745752,104.5675963644,5184855,0.0,1.0
MCD,2016-08-18 00:00:00+00:00,117.13,117.365,116.8,117.24,3710532,103.8142275145,104.0225118436,103.5217431375,103.9117223068,3710532,0.0,1.0
MCD,2016-08-19 00:00:00+00:00,115.01,116.8,115.0,116.8,7064810,101.9352369712,103.5217431375,101.9263738083,103.5217431375,7064810,0.0,1.0
MCD,2016-08-22 00:00:00+00:00,115.42,115.73,114.65,115.0,4484694,102.2986266518,102.5733847029,101.6161631054,101.9263738083,4484694,0.0,1.0
MCD,2016-08-23 00:00:00+00:00,115.19,116.12,115.05,115.91,4304209,102.0947739042,102.9190480576,101.970689623,102.7329216358,4304209,0.0,1.0
